entry_id,chap_id,"trans_english","trans_french","trans_russian","trans_spanish","trans_portugese","concept_eng"
320,14,"often","souvent","часто","a menudo, frecuentemente","amiúde",NULL
310,14,"always","toujours","всегда","siempre","sempre",NULL
290,14,"ready","prêt","готовый","listo","pronto",NULL
280,14,"cease, stop","cesser, s'arrêter","прекращать, останавливаться","terminar, detenerse","parar, cessar",NULL
270,14,"finish","finir, terminer","заканчивать","acabar, terminar, finalizar","completar, acabar",NULL
260,14,"end (temporal)","fin","кончать","fin","fim",NULL
252,14,"last, endure","durer","продолжаться, длиться","durar","durar, suportar",NULL
250,14,"begin, beginning","commencement, début","начинать, начало","empezar, comienzo, inicio","começar",NULL
240,14,"retard, delay","différer, retarder","замедлять, задерживать","demorar, retrasar","demorar, atrasar",NULL
230,14,"hasten, hurry","se dépêcher","спешить, торопить(ся)","apurarse, darse prisa","apressar",NULL
220,14,"slow","lent","медленный","despacio, lentamente","vagaroso, devagar",NULL
210,14,"swift, fast, quick","vite, rapide","быстрый","rápido","rápido, ligeiro",NULL
190,14,"immediately","tout de suite","немедленно","en seguida, inmediatamente","de imediato",NULL
180,14,"now","maintenant","сейчас","ahora","agora",NULL
170,14,"late","tard","поздно","tarde","tarde",NULL
160,14,"early","tôt, de bonne heure","рано","temprano","cedo",NULL
150,14,"old","vieux, âgé","старый","viejo","velho",NULL
140,14,"young","jeune","молодой","tierno, joven","jovem, novo",NULL
120,14,"age","âge","возраст, век, эпоха","edad","idade",NULL
130,14,"new","nouveau","новый","nuevo","novo",NULL
110,14,"time","heure, temps","время","tiempo","tempo",NULL
440,13,"three times","trois fois","три раза","tres veces","três vezes",NULL
420,13,"third","troisième","третий","tercero","terceiro",NULL
380,13,"two times","deux fois","два раза","dos veces","duas vezes",NULL
370,13,"pair","couple, paire","пара","par","par",NULL
360,13,"second","deuxième","второй","segundo","segundo",NULL
350,13,"last","dernier","последний","último","último",NULL
340,13,"first","premier","первый","primero","primeiro",NULL
330,13,"alone, only","seul, seulement","один, единственный","solo, solamente","só, somente",NULL
240,13,"half","moitié","половина","mitad","metade",NULL
230,13,"part, piece","morceau, partie","часть, кусок","pedazo","parte, pedaço, peça",NULL
220,13,"empty","vide","пустой","vacío","vazio",NULL
210,13,"full","plein","полный","lleno","cheio",NULL
190,13,"multitude, crowd","foule","множество","multitud","multidão",NULL
181,13,"some","un peu","несколько","un poco, algo, alguno","alguns",NULL
170,13,"little (quantity), few","peu","мало","poco","pouco, poucos",NULL
